Employee Category ,Year,Month,Type,Total_Strength
OMANI,2014,January  ,IN,54
OMANI,2014,January  ,OUT,16
OMANI,2014,July     ,IN,5
OMANI,2014,July     ,OUT,22
OMANI,2014,June     ,IN,45
OMANI,2014,June     ,OUT,35
OMANI,2014,March    ,IN,52
OMANI,2014,March    ,OUT,21
OMANI,2014,May      ,IN,91
OMANI,2014,May      ,OUT,20
OMANI,2014,November ,IN,30
OMANI,2014,November ,OUT,36
OMANI,2014,October  ,IN,38
OMANI,2014,October  ,OUT,68
OMANI,2014,September,IN,37
OMANI,2014,September,OUT,63
STAFF,2014,April    ,IN,41
STAFF,2014,April    ,OUT,23
STAFF,2014,August   ,IN,47
STAFF,2014,August   ,OUT,4
STAFF,2014,December ,IN,31
STAFF,2014,December ,OUT,17
STAFF,2014,February ,IN,32
STAFF,2014,February ,OUT,9
STAFF,2014,January  ,IN,21
STAFF,2014,January  ,OUT,14
STAFF,2014,July     ,IN,13
STAFF,2014,July     ,OUT,10
STAFF,2014,June     ,IN,28
STAFF,2014,June     ,OUT,20
STAFF,2014,March    ,IN,25
STAFF,2014,March    ,OUT,15
STAFF,2014,May      ,IN,23
STAFF,2014,May      ,OUT,17
STAFF,2014,November ,IN,13
STAFF,2014,November ,OUT,16
STAFF,2014,October  ,IN,25
STAFF,2014,October  ,OUT,17
STAFF,2014,September,IN,14
STAFF,2014,September,OUT,11
LABOUR,2015,April    ,IN,110
LABOUR,2015,April    ,OUT,143
LABOUR,2015,August   ,IN,208
LABOUR,2015,August   ,OUT,91
LABOUR,2015,December ,IN,413
LABOUR,2015,December ,OUT,114
LABOUR,2015,February ,IN,281
LABOUR,2015,February ,OUT,132
LABOUR,2015,January  ,IN,143
LABOUR,2015,January  ,OUT,108
LABOUR,2015,July     ,IN,171
LABOUR,2015,July     ,OUT,73
LABOUR,2015,June     ,IN,88
LABOUR,2015,June     ,OUT,103
LABOUR,2015,March    ,IN,150
LABOUR,2015,March    ,OUT,97
LABOUR,2015,May      ,IN,161
LABOUR,2015,May      ,OUT,88
LABOUR,2015,November ,IN,342
LABOUR,2015,November ,OUT,140
LABOUR,2015,October  ,IN,243
LABOUR,2015,October  ,OUT,124
LABOUR,2015,September,IN,256
LABOUR,2015,September,OUT,119
OMANI,2015,April    ,IN,39
OMANI,2015,April    ,OUT,52
OMANI,2015,August   ,IN,31
OMANI,2015,August   ,OUT,71
OMANI,2015,December ,IN,27
OMANI,2015,December ,OUT,70
OMANI,2015,February ,IN,36
OMANI,2015,February ,OUT,94
OMANI,2015,January  ,IN,33
OMANI,2015,January  ,OUT,82
OMANI,2015,July     ,IN,32
OMANI,2015,July     ,OUT,10
OMANI,2015,June     ,IN,47
OMANI,2015,June     ,OUT,36
OMANI,2015,March    ,IN,45
OMANI,2015,March    ,OUT,53
OMANI,2015,May      ,IN,33
OMANI,2015,May      ,OUT,34
OMANI,2015,November ,IN,26
OMANI,2015,November ,OUT,43
OMANI,2015,October  ,IN,14
OMANI,2015,October  ,OUT,75
OMANI,2015,September,IN,35
OMANI,2015,September,OUT,72
STAFF,2015,April    ,IN,4
STAFF,2015,April    ,OUT,9
STAFF,2015,August   ,IN,26
STAFF,2015,August   ,OUT,20
STAFF,2015,December ,IN,21
STAFF,2015,December ,OUT,23
STAFF,2015,February ,IN,43
STAFF,2015,February ,OUT,13
STAFF,2015,January  ,IN,23
STAFF,2015,January  ,OUT,10
STAFF,2015,July     ,IN,17
STAFF,2015,July     ,OUT,10
STAFF,2015,June     ,IN,18
STAFF,2015,June     ,OUT,3
STAFF,2015,March    ,IN,23
STAFF,2015,March    ,OUT,14
STAFF,2015,May      ,IN,17
STAFF,2015,May      ,OUT,18
STAFF,2015,November ,IN,13
STAFF,2015,November ,OUT,27
STAFF,2015,October  ,IN,20
STAFF,2015,October  ,OUT,33
STAFF,2015,September,IN,28
STAFF,2015,September,OUT,21
LABOUR,2016,April    ,IN,6
LABOUR,2016,April    ,OUT,301
LABOUR,2016,August   ,IN,26
LABOUR,2016,August   ,OUT,493
LABOUR,2016,December ,IN,3
LABOUR,2016,December ,OUT,135
LABOUR,2016,February ,IN,58
LABOUR,2016,February ,OUT,145
LABOUR,2016,January  ,IN,229
LABOUR,2016,January  ,OUT,185
LABOUR,2016,July     ,IN,1
LABOUR,2016,July     ,OUT,206
