Month,Year,Department,Total_Count,Nationality
Dec,2013,SITE,1,Omani,
Dec,2013,TRANSPORT,1,Expat,
Jan,2014,FMT,1,Expat,
Jan,2014,Labour,13,Expat,
Jan,2014,PROJECTS,1,Expat,
Jan,2014,TRANSPORT,2,Expat,
Feb,2014,ADMINISTRATION,1,Expat,
Feb,2014,ADMINISTRATION & GENERAL,1,Omani,
Feb,2014,CIVIL,2,Expat,
Feb,2014,FMT,1,Expat,
Feb,2014,LOGISTICS,1,Omani,
Feb,2014,Labour,11,Expat,
Feb,2014,PMV,1,Expat,
Feb,2014,SITE,1,Omani,
Feb,2014,TRANSPORT,1,Expat,
Mar,2014,CIVIL,2,Expat,
Mar,2014,HVAC & MECHANICAL,1,Expat,
Mar,2014,LOGISTICS,2,Omani,
Mar,2014,Labour,37,Expat,
Mar,2014,SITE,1,Omani,
Apr,2014,CIVIL,1,Expat,
Apr,2014,HSEQ,1,Expat,
Apr,2014,IT,1,Expat,
Apr,2014,JOINERY & INTERIOR DECOR,1,Expat,
Apr,2014,LOGISTICS,1,Omani,
Apr,2014,Labour,20,Expat,
May,2014,Labour,7,Expat,
May,2014,SITE,1,Omani,
Jun,2014,ADMINISTRATION,1,Omani,
Jun,2014,ADMINISTRATION & GENERAL,2,Omani,
Jun,2014,FINANCE,1,Expat,
Jun,2014,Labour,24,Expat,
Jul,2014,Labour,18,Expat,
Jul,2014,MAINTENANCE,1,Expat,
Jul,2014,PROJECTS,1,Expat,
Aug,2014,CAD,1,Expat,
Aug,2014,FMT,1,Expat,
Aug,2014,LOGISTICS,1,Omani,
Aug,2014,Labour,22,Expat,
Aug,2014,PROJECTS,2,Expat,
Sep,2014,ADMINISTRATION & GENERAL,4,Omani,
Sep,2014,FMT,2,Expat,
Sep,2014,Labour,64,Expat,
Sep,2014,PURCHASE,1,Expat,
Oct,2014,ADMINISTRATION,1,Expat,
Oct,2014,ADMINISTRATION & GENERAL,1,Omani,
Oct,2014,CAD,1,Expat,
Oct,2014,Labour,43,Expat,
Oct,2014,PROJECTS,1,Expat,
Nov,2014,ADMINISTRATION,1,Expat,
Nov,2014,Labour,34,Expat,
Dec,2014,ADMINISTRATION & GENERAL,2,Omani,
Dec,2014,LOGISTICS,2,Omani,
Dec,2014,Labour,16,Expat,
Dec,2014,PROJECTS,1,Expat,
Jan,2015,FMT,1,Expat,
Jan,2015,LOGISTICS,1,Omani,
Jan,2015,Labour,20,Expat,
Jan,2015,SITE,1,Omani,
Jan,2015,STORES,1,Expat,
Feb,2015,ADMINISTRATION,1,Expat,
Feb,2015,Labour,42,Expat,
Feb,2015,PROJECTS,5,Expat,
Feb,2015,SITE,3,Omani,
Mar,2015,IT,1,Omani,
Apr,2015,PROJECTS,1,Omani,
May,2015,FMT,2,Omani,
May,2015,IT,1,Omani,
May,2015,PMV,1,Omani,
Jun,2015,ADMINISTRATION & GENERAL,1,Omani,
Jun,2015,FMT,1,Omani,
Jun,2015,Labour,2,Expat,
Jun,2015,PMV,1,Omani,
Jul,2015,ADMINISTRATION & GENERAL,1,Omani,
Jul,2015,FMT,1,Omani,
Jul,2015,Labour,19,Expat,
Jul,2015,PMV,1,Omani,
Jul,2015,PROJECTS,1,Omani,
Aug,2015,ADMINISTRATION,1,Omani,
Aug,2015,FMT,6,Omani,
Aug,2015,IT,1,Omani,
Aug,2015,Labour,23,Expat,
Aug,2015,PMV,2,Omani,
Sep,2015,FMT,1,Omani,
Sep,2015,Labour,27,Expat,
Sep,2015,MAINTENANCE,1,Expat,
Sep,2015,PMV,2,Expat,
Sep,2015,PMV,1,Omani,
Sep,2015,PROJECTS,1,Expat,
Oct,2015,FMT,3,Omani,
Oct,2015,Labour,34,Expat,
Oct,2015,PROJECTS,1,Expat,
Oct,2015,STORES,1,Expat,
Nov,2015,ADMINISTRATION,1,Omani,
Nov,2015,CAD,1,Expat,
Nov,2015,FMT,1,Omani,
Nov,2015,Labour,31,Expat,
Nov,2015,PROJECTS,1,Expat,
Nov,2015,TIMEKEEPING,1,Expat,
Dec,2015,FMT,1,Expat,
Dec,2015,FMT,2,Omani,
Dec,2015,IT,1,Expat,
Dec,2015,Labour,60,Expat,
Dec,2015,PROJECTS,2,Omani,
Dec,2015,STORES,2,Expat,
Jan,2016,FMT,1,Omani,
Jan,2016,Labour,38,Expat,
Jan,2016,QS & TENDERING,1,Expat,
Feb,2016,CAD,1,Omani,
