COMPANY,NATIONALITY,YEAR,MONTH,MM,STRENGTH
BOLD POINT CONSTRUCTION,NEPAL,2022,FEBRUARY ,02,1
BOLD POINT CONSTRUCTION,OMANI,2022,FEBRUARY ,02,3
CROWN UNITED INTERNATIONAL SPC,BANGLADESH,2022,FEBRUARY ,02,2
CROWN UNITED INTERNATIONAL SPC,INDIAN,2022,FEBRUARY ,02,5
HIGH-END BUSINESS SERVICES,INDIAN,2022,FEBRUARY ,02,3
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2022,FEBRUARY ,02,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2022,FEBRUARY ,02,22
INFORMATION TECHNOLOGY SOLUTIONS SPC,OMANI,2022,FEBRUARY ,02,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2022,FEBRUARY ,02,45
INSIGHT ENGINEERING CONSULTANTS,OMANI,2022,FEBRUARY ,02,13
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2022,FEBRUARY ,02,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2022,FEBRUARY ,02,54
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,OMANI,2022,FEBRUARY ,02,13
NEW ROTANA ENTERPRISES LLC,INDIAN,2022,FEBRUARY ,02,19
NEW ROTANA ENTERPRISES LLC,OMANI,2022,FEBRUARY ,02,6
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2022,FEBRUARY ,02,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2022,FEBRUARY ,02,28
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2022,FEBRUARY ,02,3
THOMAS ALEXANDER,BANGLADESH,2022,FEBRUARY ,02,5
THOMAS ALEXANDER,INDIAN,2022,FEBRUARY ,02,6
THOMAS ALEXANDER,OMANI,2022,FEBRUARY ,02,1
THOMAS ALEXANDER,PHILIPPINE,2022,FEBRUARY ,02,2
TRUFUD TRADING,BANGLADESH,2022,FEBRUARY ,02,1
TRUFUD TRADING,INDIAN,2022,FEBRUARY ,02,1
ADRAK FACILITIES AND SERVICES LLC,BANGLADESH,2022,MARCH    ,03,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2022,MARCH    ,03,21
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,INDIAN,2022,MARCH    ,03,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2022,MARCH    ,03,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,EGYPTION,2022,MARCH    ,03,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,INDIAN,2022,MARCH    ,03,75
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAN,2022,MARCH    ,03,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAQ,2022,MARCH    ,03,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,NEPAL,2022,MARCH    ,03,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,OMANI,2022,MARCH    ,03,58
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PAKISTAN,2022,MARCH    ,03,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PHILIPPINE,2022,MARCH    ,03,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SUDANI,2022,MARCH    ,03,6
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SYRIAN,2022,MARCH    ,03,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2022,MARCH    ,03,723
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2022,MARCH    ,03,"2,353"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2022,MARCH    ,03,11
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2022,MARCH    ,03,358
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2022,MARCH    ,03,4
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2022,MARCH    ,03,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2022,MARCH    ,03,34
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2022,MARCH    ,03,9
AL RASD CONSTRUCTION SPC,BANGLADESH,2022,MARCH    ,03,12
AL RASD CONSTRUCTION SPC,INDIAN,2022,MARCH    ,03,32
AL RASD CONSTRUCTION SPC,OMANI,2022,MARCH    ,03,7
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2022,MARCH    ,03,3
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,OMANI,2022,MARCH    ,03,1
BEYOND TECH LLC,INDIAN,2022,MARCH    ,03,1
BOLD POINT CONSTRUCTION,BANGLADESH,2022,MARCH    ,03,4
BOLD POINT CONSTRUCTION,INDIAN,2022,MARCH    ,03,22
BOLD POINT CONSTRUCTION,NEPAL,2022,MARCH    ,03,1
BOLD POINT CONSTRUCTION,OMANI,2022,MARCH    ,03,3
CROWN UNITED INTERNATIONAL SPC,BANGLADESH,2022,MARCH    ,03,2
CROWN UNITED INTERNATIONAL SPC,INDIAN,2022,MARCH    ,03,5
HIGH-END BUSINESS SERVICES,INDIAN,2022,MARCH    ,03,3
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2022,MARCH    ,03,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2022,MARCH    ,03,22
INFORMATION TECHNOLOGY SOLUTIONS SPC,OMANI,2022,MARCH    ,03,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2022,MARCH    ,03,46
INSIGHT ENGINEERING CONSULTANTS,OMANI,2022,MARCH    ,03,12
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2022,MARCH    ,03,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2022,MARCH    ,03,54
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,OMANI,2022,MARCH    ,03,13
NEW ROTANA ENTERPRISES LLC,INDIAN,2022,MARCH    ,03,19
NEW ROTANA ENTERPRISES LLC,OMANI,2022,MARCH    ,03,5
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2022,MARCH    ,03,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2022,MARCH    ,03,28
SILVER OASIS BUSINESS AND SERVICES,OMANI,2022,MARCH    ,03,1
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2022,MARCH    ,03,3
THOMAS ALEXANDER,BANGLADESH,2022,MARCH    ,03,5
THOMAS ALEXANDER,INDIAN,2022,MARCH    ,03,6
THOMAS ALEXANDER,OMANI,2022,MARCH    ,03,1
THOMAS ALEXANDER,PHILIPPINE,2022,MARCH    ,03,2
TRUFUD TRADING,BANGLADESH,2022,MARCH    ,03,1
TRUFUD TRADING,INDIAN,2022,MARCH    ,03,1
ADRAK FACILITIES AND SERVICES LLC,BANGLADESH,2022,APRIL    ,04,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2022,APRIL    ,04,21
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,INDIAN,2022,APRIL    ,04,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2022,APRIL    ,04,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,EGYPTION,2022,APRIL    ,04,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,INDIAN,2022,APRIL    ,04,74
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAN,2022,APRIL    ,04,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAQ,2022,APRIL    ,04,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,NEPAL,2022,APRIL    ,04,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,OMANI,2022,APRIL    ,04,57
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PAKISTAN,2022,APRIL    ,04,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PHILIPPINE,2022,APRIL    ,04,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SUDANI,2022,APRIL    ,04,6
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SYRIAN,2022,APRIL    ,04,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2022,APRIL    ,04,714
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2022,APRIL    ,04,"2,343"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2022,APRIL    ,04,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2022,APRIL    ,04,363
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2022,APRIL    ,04,4
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2022,APRIL    ,04,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2022,APRIL    ,04,35
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2022,APRIL    ,04,9
AL RASD CONSTRUCTION SPC,BANGLADESH,2022,APRIL    ,04,12
AL RASD CONSTRUCTION SPC,INDIAN,2022,APRIL    ,04,32
AL RASD CONSTRUCTION SPC,OMANI,2022,APRIL    ,04,7
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2022,APRIL    ,04,3
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,OMANI,2022,APRIL    ,04,1
BEYOND TECH LLC,INDIAN,2022,APRIL    ,04,1
BOLD POINT CONSTRUCTION,BANGLADESH,2022,APRIL    ,04,4
BOLD POINT CONSTRUCTION,INDIAN,2022,APRIL    ,04,22
BOLD POINT CONSTRUCTION,NEPAL,2022,APRIL    ,04,1
BOLD POINT CONSTRUCTION,OMANI,2022,APRIL    ,04,3
CROWN UNITED INTERNATIONAL SPC,BANGLADESH,2022,APRIL    ,04,2
CROWN UNITED INTERNATIONAL SPC,INDIAN,2022,APRIL    ,04,5
HIGH-END BUSINESS SERVICES,INDIAN,2022,APRIL    ,04,3
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2022,APRIL    ,04,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2022,APRIL    ,04,22
INFORMATION TECHNOLOGY SOLUTIONS SPC,OMANI,2022,APRIL    ,04,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2022,APRIL    ,04,46
INSIGHT ENGINEERING CONSULTANTS,OMANI,2022,APRIL    ,04,11
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2022,APRIL    ,04,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2022,APRIL    ,04,54
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,OMANI,2022,APRIL    ,04,13
NEW ROTANA ENTERPRISES LLC,INDIAN,2022,APRIL    ,04,20
NEW ROTANA ENTERPRISES LLC,OMANI,2022,APRIL    ,04,5
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2022,APRIL    ,04,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2022,APRIL    ,04,28
SILVER OASIS BUSINESS AND SERVICES,OMANI,2022,APRIL    ,04,1
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2022,APRIL    ,04,3
THOMAS ALEXANDER,BANGLADESH,2022,APRIL    ,04,6
THOMAS ALEXANDER,INDIAN,2022,APRIL    ,04,6
THOMAS ALEXANDER,OMANI,2022,APRIL    ,04,1
THOMAS ALEXANDER,PHILIPPINE,2022,APRIL    ,04,1
TRUFUD TRADING,BANGLADESH,2022,APRIL    ,04,1
TRUFUD TRADING,INDIAN,2022,APRIL    ,04,1
ADRAK FACILITIES AND SERVICES LLC,BANGLADESH,2022,MAY      ,05,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2022,MAY      ,05,21
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,INDIAN,2022,MAY      ,05,5
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,OMANI,2022,MAY      ,05,2
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2022,MAY      ,05,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,EGYPTION,2022,MAY      ,05,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,INDIAN,2022,MAY      ,05,72
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAN,2022,MAY      ,05,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAQ,2022,MAY      ,05,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,NEPAL,2022,MAY      ,05,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,OMANI,2022,MAY      ,05,54
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PAKISTAN,2022,MAY      ,05,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PHILIPPINE,2022,MAY      ,05,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SUDANI,2022,MAY      ,05,6
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SYRIAN,2022,MAY      ,05,3
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2022,MAY      ,05,714
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2022,MAY      ,05,"2,324"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2022,MAY      ,05,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2022,MAY      ,05,377
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2022,MAY      ,05,4
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2022,MAY      ,05,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2022,MAY      ,05,37
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2022,MAY      ,05,9
AL RASD CONSTRUCTION SPC,BANGLADESH,2022,MAY      ,05,12
AL RASD CONSTRUCTION SPC,INDIAN,2022,MAY      ,05,31
AL RASD CONSTRUCTION SPC,OMANI,2022,MAY      ,05,7
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2022,MAY      ,05,3
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,OMANI,2022,MAY      ,05,1
BEYOND TECH LLC,INDIAN,2022,MAY      ,05,1
BOLD POINT CONSTRUCTION,BANGLADESH,2022,MAY      ,05,4
BOLD POINT CONSTRUCTION,INDIAN,2022,MAY      ,05,22
BOLD POINT CONSTRUCTION,NEPAL,2022,MAY      ,05,1
BOLD POINT CONSTRUCTION,OMANI,2022,MAY      ,05,3
CROWN UNITED INTERNATIONAL SPC,BANGLADESH,2022,MAY      ,05,1
CROWN UNITED INTERNATIONAL SPC,INDIAN,2022,MAY      ,05,4
HIGH-END BUSINESS SERVICES,INDIAN,2022,MAY      ,05,3
HIGH-END BUSINESS SERVICES,OMANI,2022,MAY      ,05,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2022,MAY      ,05,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2022,MAY      ,05,21
INFORMATION TECHNOLOGY SOLUTIONS SPC,OMANI,2022,MAY      ,05,7
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2022,MAY      ,05,45
INSIGHT ENGINEERING CONSULTANTS,OMANI,2022,MAY      ,05,11
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2022,MAY      ,05,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2022,MAY      ,05,56
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,OMANI,2022,MAY      ,05,13
NEW ROTANA ENTERPRISES LLC,INDIAN,2022,MAY      ,05,20
NEW ROTANA ENTERPRISES LLC,OMANI,2022,MAY      ,05,5
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2022,MAY      ,05,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2022,MAY      ,05,28
SILVER OASIS BUSINESS AND SERVICES,OMANI,2022,MAY      ,05,1
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2022,MAY      ,05,3
THOMAS ALEXANDER,BANGLADESH,2022,MAY      ,05,6
THOMAS ALEXANDER,INDIAN,2022,MAY      ,05,7
THOMAS ALEXANDER,OMANI,2022,MAY      ,05,1
THOMAS ALEXANDER,PHILIPPINE,2022,MAY      ,05,2
TRUFUD TRADING,BANGLADESH,2022,MAY      ,05,1
TRUFUD TRADING,INDIAN,2022,MAY      ,05,1
ADRAK FACILITIES AND SERVICES LLC,BANGLADESH,2022,JUNE     ,06,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2022,JUNE     ,06,22
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,INDIAN,2022,JUNE     ,06,6
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,OMANI,2022,JUNE     ,06,2
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,SUDANI,2022,JUNE     ,06,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2022,JUNE     ,06,3
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,EGYPTION,2022,JUNE     ,06,3
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,INDIAN,2022,JUNE     ,06,75
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAN,2022,JUNE     ,06,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAQ,2022,JUNE     ,06,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,NEPAL,2022,JUNE     ,06,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,OMANI,2022,JUNE     ,06,48
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PAKISTAN,2022,JUNE     ,06,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PHILIPPINE,2022,JUNE     ,06,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SUDANI,2022,JUNE     ,06,8
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SYRIAN,2022,JUNE     ,06,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2022,JUNE     ,06,708
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2022,JUNE     ,06,"2,335"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2022,JUNE     ,06,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2022,JUNE     ,06,392
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2022,JUNE     ,06,4
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2022,JUNE     ,06,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2022,JUNE     ,06,38
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2022,JUNE     ,06,8
AL RASD CONSTRUCTION SPC,BANGLADESH,2022,JUNE     ,06,12
AL RASD CONSTRUCTION SPC,INDIAN,2022,JUNE     ,06,31
AL RASD CONSTRUCTION SPC,OMANI,2022,JUNE     ,06,7
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2022,JUNE     ,06,3
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,OMANI,2022,JUNE     ,06,1
BEYOND TECH LLC,INDIAN,2022,JUNE     ,06,1
BOLD POINT CONSTRUCTION,BANGLADESH,2022,JUNE     ,06,4
BOLD POINT CONSTRUCTION,INDIAN,2022,JUNE     ,06,22
BOLD POINT CONSTRUCTION,NEPAL,2022,JUNE     ,06,1
BOLD POINT CONSTRUCTION,OMANI,2022,JUNE     ,06,4
CROWN UNITED INTERNATIONAL SPC,INDIAN,2022,JUNE     ,06,2
HIGH-END BUSINESS SERVICES,INDIAN,2022,JUNE     ,06,3
HIGH-END BUSINESS SERVICES,OMANI,2022,JUNE     ,06,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2022,JUNE     ,06,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2022,JUNE     ,06,21
INFORMATION TECHNOLOGY SOLUTIONS SPC,OMANI,2022,JUNE     ,06,9
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2022,JUNE     ,06,45
INSIGHT ENGINEERING CONSULTANTS,OMANI,2022,JUNE     ,06,11
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2022,JUNE     ,06,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2022,JUNE     ,06,56
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,OMANI,2022,JUNE     ,06,13
NEW ROTANA ENTERPRISES LLC,INDIAN,2022,JUNE     ,06,20
NEW ROTANA ENTERPRISES LLC,OMANI,2022,JUNE     ,06,5
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2022,JUNE     ,06,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2022,JUNE     ,06,28
SILVER OASIS BUSINESS AND SERVICES,OMANI,2022,JUNE     ,06,1
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2022,JUNE     ,06,3
THOMAS ALEXANDER,BANGLADESH,2022,JUNE     ,06,6
THOMAS ALEXANDER,INDIAN,2022,JUNE     ,06,6
THOMAS ALEXANDER,OMANI,2022,JUNE     ,06,1
THOMAS ALEXANDER,PHILIPPINE,2022,JUNE     ,06,2
TRUFUD TRADING,BANGLADESH,2022,JUNE     ,06,1
TRUFUD TRADING,INDIAN,2022,JUNE     ,06,1
ADRAK FACILITIES AND SERVICES LLC,BANGLADESH,2022,JULY     ,07,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2022,JULY     ,07,22
ADRAK FACILITIES AND SERVICES LLC,OMANI,2022,JULY     ,07,1
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,INDIAN,2022,JULY     ,07,6
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,OMANI,2022,JULY     ,07,2
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,SUDANI,2022,JULY     ,07,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2022,JULY     ,07,3
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,EGYPTION,2022,JULY     ,07,6
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,INDIAN,2022,JULY     ,07,75
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAN,2022,JULY     ,07,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAQ,2022,JULY     ,07,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,NEPAL,2022,JULY     ,07,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,OMANI,2022,JULY     ,07,48
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PAKISTAN,2022,JULY     ,07,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PHILIPPINE,2022,JULY     ,07,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SUDANI,2022,JULY     ,07,7
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SYRIAN,2022,JULY     ,07,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2022,JULY     ,07,706
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2022,JULY     ,07,"2,376"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2022,JULY     ,07,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2022,JULY     ,07,389
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,PAKISTAN,2022,JULY     ,07,4
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2022,JULY     ,07,1
AL KHAITH INDUSTRIES AND SERVICES SPC,BANGLADESH,2022,JULY     ,07,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2022,JULY     ,07,39
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2022,JULY     ,07,9
AL RASD CONSTRUCTION SPC,BANGLADESH,2022,JULY     ,07,12
AL RASD CONSTRUCTION SPC,INDIAN,2022,JULY     ,07,31
AL RASD CONSTRUCTION SPC,OMANI,2022,JULY     ,07,6
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2022,JULY     ,07,4
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,OMANI,2022,JULY     ,07,1
BEYOND TECH LLC,INDIAN,2022,JULY     ,07,1
BOLD POINT CONSTRUCTION,BANGLADESH,2022,JULY     ,07,4
BOLD POINT CONSTRUCTION,INDIAN,2022,JULY     ,07,23
BOLD POINT CONSTRUCTION,NEPAL,2022,JULY     ,07,1
BOLD POINT CONSTRUCTION,OMANI,2022,JULY     ,07,4
CROWN UNITED INTERNATIONAL SPC,INDIAN,2022,JULY     ,07,2
HIGH-END BUSINESS SERVICES,INDIAN,2022,JULY     ,07,3
HIGH-END BUSINESS SERVICES,OMANI,2022,JULY     ,07,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2022,JULY     ,07,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2022,JULY     ,07,21
INFORMATION TECHNOLOGY SOLUTIONS SPC,OMANI,2022,JULY     ,07,11
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2022,JULY     ,07,45
INSIGHT ENGINEERING CONSULTANTS,IRAN,2022,JULY     ,07,1
INSIGHT ENGINEERING CONSULTANTS,OMANI,2022,JULY     ,07,12
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2022,JULY     ,07,8
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2022,JULY     ,07,53
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,OMANI,2022,JULY     ,07,10
NEW ROTANA ENTERPRISES LLC,INDIAN,2022,JULY     ,07,20
NEW ROTANA ENTERPRISES LLC,OMANI,2022,JULY     ,07,5
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2022,JULY     ,07,8
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2022,JULY     ,07,28
SILVER OASIS BUSINESS AND SERVICES,OMANI,2022,JULY     ,07,1
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2022,JULY     ,07,3
THOMAS ALEXANDER,BANGLADESH,2022,JULY     ,07,6
THOMAS ALEXANDER,INDIAN,2022,JULY     ,07,6
THOMAS ALEXANDER,OMANI,2022,JULY     ,07,1
THOMAS ALEXANDER,PHILIPPINE,2022,JULY     ,07,2
