COMPANY,NATIONALITY,YEAR,MONTH,MM,STRENGTH
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2024,OCTOBER  ,10,1
AL KHAITH INDUSTRIES AND SERVICES SPC,BANGLADESH,2024,OCTOBER  ,10,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2024,OCTOBER  ,10,31
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2024,OCTOBER  ,10,4
AL RASD CONSTRUCTION SPC,BANGLADESH,2024,OCTOBER  ,10,11
AL RASD CONSTRUCTION SPC,INDIAN,2024,OCTOBER  ,10,24
AL RASD CONSTRUCTION SPC,OMANI,2024,OCTOBER  ,10,5
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2024,OCTOBER  ,10,8
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,OMANI,2024,OCTOBER  ,10,6
BEYOND TECH LLC,INDIAN,2024,OCTOBER  ,10,1
BEYOND TECH LLC,OMANI,2024,OCTOBER  ,10,1
BOLD POINT CONSTRUCTION,BANGLADESH,2024,OCTOBER  ,10,9
BOLD POINT CONSTRUCTION,INDIAN,2024,OCTOBER  ,10,48
BOLD POINT CONSTRUCTION,NEPAL,2024,OCTOBER  ,10,13
BOLD POINT CONSTRUCTION,OMANI,2024,OCTOBER  ,10,11
HIGH-END BUSINESS SERVICES,INDIAN,2024,OCTOBER  ,10,3
HIGH-END BUSINESS SERVICES,OMANI,2024,OCTOBER  ,10,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2024,OCTOBER  ,10,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2024,OCTOBER  ,10,23
INFORMATION TECHNOLOGY SOLUTIONS SPC,OMANI,2024,OCTOBER  ,10,11
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2024,OCTOBER  ,10,32
INSIGHT ENGINEERING CONSULTANTS,IRAN,2024,OCTOBER  ,10,1
INSIGHT ENGINEERING CONSULTANTS,OMANI,2024,OCTOBER  ,10,10
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2024,OCTOBER  ,10,7
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2024,OCTOBER  ,10,42
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,OMANI,2024,OCTOBER  ,10,12
MUSCAT LIGHTS TECHNOLOGIES AND BUSINESS SPC,OMANI,2024,OCTOBER  ,10,1
NEW ROTANA ENTERPRISES LLC,BANGLADESH,2024,OCTOBER  ,10,2
NEW ROTANA ENTERPRISES LLC,EGYPTION,2024,OCTOBER  ,10,3
NEW ROTANA ENTERPRISES LLC,INDIAN,2024,OCTOBER  ,10,11
NEW ROTANA ENTERPRISES LLC,INDONESIAN,2024,OCTOBER  ,10,1
NEW ROTANA ENTERPRISES LLC,JORDANI,2024,OCTOBER  ,10,2
NEW ROTANA ENTERPRISES LLC,LEBANESE,2024,OCTOBER  ,10,2
NEW ROTANA ENTERPRISES LLC,MOROCCAN,2024,OCTOBER  ,10,1
NEW ROTANA ENTERPRISES LLC,NIGERIAN,2024,OCTOBER  ,10,1
NEW ROTANA ENTERPRISES LLC,OMANI,2024,OCTOBER  ,10,13
NEW ROTANA ENTERPRISES LLC,PHILIPPINE,2024,OCTOBER  ,10,2
NEW ROTANA ENTERPRISES LLC,SOUTH AFRICAN,2024,OCTOBER  ,10,1
NEW ROTANA ENTERPRISES LLC,TUNISIAN,2024,OCTOBER  ,10,1
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2024,OCTOBER  ,10,9
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2024,OCTOBER  ,10,45
SILVER OASIS BUSINESS AND SERVICES,OMANI,2024,OCTOBER  ,10,6
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2024,OCTOBER  ,10,5
THANVEER CONCRETE AND STONE PRODUCTS SPC,OMANI,2024,OCTOBER  ,10,1
THOMAS ALEXANDER,BANGLADESH,2024,OCTOBER  ,10,5
THOMAS ALEXANDER,INDIAN,2024,OCTOBER  ,10,5
THOMAS ALEXANDER,OMANI,2024,OCTOBER  ,10,1
THOMAS ALEXANDER,PHILIPPINE,2024,OCTOBER  ,10,3
TRUFUD TRADING,BANGLADESH,2024,OCTOBER  ,10,8
TRUFUD TRADING,EGYPTION,2024,OCTOBER  ,10,1
TRUFUD TRADING,INDIAN,2024,OCTOBER  ,10,3
TRUFUD TRADING,OMANI,2024,OCTOBER  ,10,1
ADRAK DEVELOPERS LLC,EGYPTION,2024,NOVEMBER ,11,1
ADRAK DEVELOPERS LLC,INDIAN,2024,NOVEMBER ,11,1
